date,parent_colony_a,parent_colony_b,cross_n,scint,leach_code,leachate,phase,hpf,fix_freeze,destiny,sample_id,cryo-tag label color,scint,cryo,cryo-degraded,micro,micro-degraded,cross-note,extracted?,extraction-date,extraction-note,microscopy-stitched,microscopy-note,annotated?
7/6/2024,H,M,7,159,M,mid,prawn,9,F,freeze,7M9F,dark purple,fin!,filled with sample,,labelled,,,FALSE,NA,no sample,,,
7/6/2024,H,M,7,160,H,high,prawn,9,F,freeze,7H9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,H,M,7,165,C,control,gastrula,14,F,freeze,7C14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,12-Aug-2024,,,,
7/6/2024,H,M,7,166,L,low,gastrula,14,F,freeze,7L14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,19-Aug-2024,,,,
7/6/2024,H,M,7,167,M,mid,gastrula,14,F,freeze,7M14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,20-Aug-2024,,,,
7/6/2024,H,M,7,168,H,high,gastrula,14,F,freeze,7H14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,J,G,8,173,C,control,cleavage,4,F,freeze,8C4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,J,G,8,174,L,low,cleavage,4,F,freeze,8L4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,20-Aug-2024,,,,
7/6/2024,J,G,8,175,M,mid,cleavage,4,F,freeze,8M4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,J,G,8,176,H,high,cleavage,4,F,freeze,8H4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,21-Aug-2024,,,,
7/6/2024,J,G,8,181,C,control,prawn,9,F,freeze,8C9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,J,G,8,182,L,low,prawn,9,F,freeze,8L9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,16-Aug-2024,,,,
7/6/2024,J,G,8,183,M,mid,prawn,9,F,freeze,8M9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,21-Aug-2024,,,,
7/6/2024,J,G,8,184,H,high,prawn,9,F,freeze,8H9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,J,G,8,189,C,control,gastrula,14,F,freeze,8C14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,J,G,8,190,L,low,gastrula,14,F,freeze,8L14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,19-Aug-2024,,,,
7/6/2024,J,G,8,191,M,mid,gastrula,14,F,freeze,8M14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,20-Aug-2024,,,,
7/6/2024,J,G,8,192,H,high,gastrula,14,F,freeze,8H14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,B,J,9,197,C,control,cleavage,4,F,freeze,9C4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,B,J,9,198,L,low,cleavage,4,F,freeze,9L4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,20-Aug-2024,,,,
7/6/2024,B,J,9,199,M,mid,cleavage,4,F,freeze,9M4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,B,J,9,200,H,high,cleavage,4,F,freeze,9H4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,21-Aug-2024,,,,
7/6/2024,B,J,9,205,C,control,prawn,9,F,freeze,9C9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,B,J,9,206,L,low,prawn,9,F,freeze,9L9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,16-Aug-2024,,,,
7/6/2024,B,J,9,207,M,mid,prawn,9,F,freeze,9M9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,21-Aug-2024,,,,
7/6/2024,B,J,9,208,H,high,prawn,9,F,freeze,9H9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,B,J,9,213,C,control,gastrula,14,F,freeze,9C14F,lime green,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,B,J,9,214,L,low,gastrula,14,F,freeze,9L14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,19-Aug-2024,,,,
7/6/2024,B,J,9,215,M,mid,gastrula,14,F,freeze,9M14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,20-Aug-2024,,,,
7/6/2024,B,J,9,216,H,high,gastrula,14,F,freeze,9H14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,B,J,10,221,C,control,cleavage,4,F,freeze,10C4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,20-Aug-2024,,,,
7/6/2024,B,J,10,222,L,low,cleavage,4,F,freeze,10L4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,21-Aug-2024,,,,
7/6/2024,B,J,10,223,M,mid,cleavage,4,F,freeze,10M4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,B,J,10,224,H,high,cleavage,4,F,freeze,10H4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,B,J,10,229,C,control,prawn,9,F,freeze,10C9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,16-Aug-2024,,,,
7/6/2024,B,J,10,230,L,low,prawn,9,F,freeze,10L9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,21-Aug-2024,,,,
7/6/2024,B,J,10,231,M,mid,prawn,9,F,freeze,10M9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,B,J,10,232,H,high,prawn,9,F,freeze,10H9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,16-Aug-2024,,,,
7/6/2024,B,J,10,237,C,control,gastrula,14,F,freeze,10C14F,lime green,fin!,filled with sample,,labelled,,,TRUE,19-Aug-2024,,,,
7/6/2024,B,J,10,238,L,low,gastrula,14,F,freeze,10L14F,lime green,fin!,filled with sample,,labelled,,,TRUE,21-Aug-2024,,,,
7/6/2024,B,J,10,239,M,mid,gastrula,14,F,freeze,10M14F,lime green,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,B,J,10,240,H,high,gastrula,14,F,freeze,10H14F,lime green,fin!,labelled,,labelled,,,TRUE,20-Aug-2024,,,,
7/7/2024,E,1_white,11,241,C,control,cleavage,4,F,freeze,11C4F,orange,fin!,filled with sample,,,,,TRUE,20-Aug-2024,,,,
7/7/2024,E,1_white,11,242,L,low,cleavage,4,F,freeze,11L4F,orange,fin!,filled with sample,,,,,TRUE,21-Aug-2024,,,,
7/7/2024,E,1_white,11,243,M,mid,cleavage,4,F,freeze,11M4F,orange,fin!,filled with sample,,,,,TRUE,23-Aug-2024,,,,
7/7/2024,E,1_white,11,244,H,high,cleavage,4,F,freeze,11H4F,orange,fin!,filled with sample,,,,,TRUE,23-Aug-2024,,,,
7/7/2024,E,1_white,11,245,C,control,prawn,9,F,freeze,11C9F,tan,labelled,labelled,,,,,TRUE,16-Aug-2024,,,,
7/7/2024,E,1_white,11,246,L,low,prawn,9,F,freeze,11L9F,tan,labelled,labelled,,,,,TRUE,21-Aug-2024,,,,
7/7/2024,E,1_white,11,247,M,mid,prawn,9,F,freeze,11M9F,tan,labelled,labelled,,,,,TRUE,23-Aug-2024,,,,
7/7/2024,E,1_white,11,248,H,high,prawn,9,F,freeze,11H9F,tan,labelled,labelled,,,,,TRUE,16-Aug-2024,,,,
7/7/2024,E,1_white,11,249,C,control,gastrula,14,F,freeze,11C14F,blue,labelled,labelled,,,,,TRUE,19-Aug-2024,,,,
7/7/2024,E,1_white,11,250,L,low,gastrula,14,F,freeze,11L14F,blue,labelled,labelled,,,,,TRUE,21-Aug-2024,,,,
7/7/2024,E,1_white,11,251,M,mid,gastrula,14,F,freeze,11M14F,blue,labelled,labelled,,,,,TRUE,26-Aug-2024,,,,
7/7/2024,E,1_white,11,252,H,high,gastrula,14,F,freeze,11H14F,blue,labelled,labelled,,,,,TRUE,20-Aug-2024,,,,
7/7/2024,H,15_orange,12,253,C,control,cleavage,4,F,freeze,12C4F,orange,fin!,filled with sample,,,,,TRUE,20-Aug-2024,,,,
7/7/2024,H,15_orange,12,254,L,low,cleavage,4,F,freeze,12L4F,orange,fin!,filled with sample,,,,,TRUE,21-Aug-2024,,,,
7/7/2024,H,15_orange,12,255,M,mid,cleavage,4,F,freeze,12M4F,orange,fin!,filled with sample,,,,,TRUE,23-Aug-2024,,,,
7/7/2024,H,15_orange,12,256,H,high,cleavage,4,F,freeze,12H4F,orange,fin!,filled with sample,,,,,TRUE,23-Aug-2024,,,,
7/7/2024,H,15_orange,12,257,C,control,prawn,9,F,freeze,12C9F,tan,labelled,labelled,,,,,TRUE,16-Aug-2024,,,,
