sample_id,treatment,hpf,date,stage,n
3M14,mid,14,2024-05-07,cleavage,0
3M14,mid,14,2024-05-07,morula,0
3M14,mid,14,2024-05-07,prawnchip,0
3M14,mid,14,2024-05-07,earlygastrula,15
3M4,mid,4,2024-05-07,egg,13
3M4,mid,4,2024-05-07,cleavage,7
3M4,mid,4,2024-05-07,morula,8
3M4,mid,4,2024-05-07,prawnchip,0
3M4,mid,4,2024-05-07,earlygastrula,0
3M9,mid,9,2024-05-07,egg,0
3M9,mid,9,2024-05-07,cleavage,0
3M9,mid,9,2024-05-07,morula,0
3M9,mid,9,2024-05-07,prawnchip,4
3M9,mid,9,2024-05-07,earlygastrula,0
4C14,control,14,2024-05-07,egg,0
4C14,control,14,2024-05-07,cleavage,0
4C14,control,14,2024-05-07,morula,0
4C14,control,14,2024-05-07,prawnchip,6
4C14,control,14,2024-05-07,earlygastrula,4
4C4,control,4,2024-05-07,egg,16
4C4,control,4,2024-05-07,cleavage,5
4C4,control,4,2024-05-07,morula,9
4C4,control,4,2024-05-07,prawnchip,0
4C4,control,4,2024-05-07,earlygastrula,0
4C9,control,9,2024-05-07,egg,0
4C9,control,9,2024-05-07,cleavage,0
4C9,control,9,2024-05-07,morula,0
4C9,control,9,2024-05-07,prawnchip,17
4C9,control,9,2024-05-07,earlygastrula,0
4H14,high,14,2024-05-07,egg,1
4H14,high,14,2024-05-07,cleavage,0
4H14,high,14,2024-05-07,morula,0
4H14,high,14,2024-05-07,prawnchip,1
4H14,high,14,2024-05-07,earlygastrula,8
4H4,high,4,2024-05-07,egg,13
4H4,high,4,2024-05-07,cleavage,4
4H4,high,4,2024-05-07,morula,8
4H4,high,4,2024-05-07,prawnchip,0
4H4,high,4,2024-05-07,earlygastrula,0
4H9,high,9,2024-05-07,egg,0
4H9,high,9,2024-05-07,cleavage,0
4H9,high,9,2024-05-07,morula,0
4H9,high,9,2024-05-07,prawnchip,4
4H9,high,9,2024-05-07,earlygastrula,0
4L14,low,14,2024-05-07,egg,0
4L14,low,14,2024-05-07,cleavage,0
4L14,low,14,2024-05-07,morula,0
4L14,low,14,2024-05-07,prawnchip,0
4L14,low,14,2024-05-07,earlygastrula,15
4L4,low,4,2024-05-07,egg,17
4L4,low,4,2024-05-07,cleavage,8
4L4,low,4,2024-05-07,morula,9
4L4,low,4,2024-05-07,prawnchip,0
4L4,low,4,2024-05-07,earlygastrula,0
4L9,low,9,2024-05-07,egg,0
4L9,low,9,2024-05-07,cleavage,0
4L9,low,9,2024-05-07,morula,1
4L9,low,9,2024-05-07,prawnchip,5
4L9,low,9,2024-05-07,earlygastrula,0
4M14,mid,14,2024-05-07,egg,0
4M14,mid,14,2024-05-07,cleavage,0
4M14,mid,14,2024-05-07,morula,0
4M14,mid,14,2024-05-07,prawnchip,0
4M14,mid,14,2024-05-07,earlygastrula,15
4M4,mid,4,2024-05-07,egg,17
4M4,mid,4,2024-05-07,cleavage,2
4M4,mid,4,2024-05-07,morula,8
4M4,mid,4,2024-05-07,prawnchip,0
4M4,mid,4,2024-05-07,earlygastrula,0
4M9,mid,9,2024-05-07,egg,0
4M9,mid,9,2024-05-07,cleavage,0
4M9,mid,9,2024-05-07,morula,0
4M9,mid,9,2024-05-07,prawnchip,10
4M9,mid,9,2024-05-07,earlygastrula,0
5C14,control,14,2024-05-07,egg,0
5C14,control,14,2024-05-07,cleavage,0
5C14,control,14,2024-05-07,morula,0
5C14,control,14,2024-05-07,prawnchip,2
5C14,control,14,2024-05-07,earlygastrula,8
5C4,control,4,2024-05-07,egg,26
5C4,control,4,2024-05-07,cleavage,0
5C4,control,4,2024-05-07,morula,0
5C4,control,4,2024-05-07,prawnchip,0
5C4,control,4,2024-05-07,earlygastrula,0
5C9,control,9,2024-05-07,egg,0
5C9,control,9,2024-05-07,cleavage,0
5C9,control,9,2024-05-07,morula,0
5C9,control,9,2024-05-07,prawnchip,2
5C9,control,9,2024-05-07,earlygastrula,0
5H14,high,14,2024-05-07,egg,0
5H14,high,14,2024-05-07,cleavage,0
5H14,high,14,2024-05-07,morula,0
5H14,high,14,2024-05-07,prawnchip,2
5H14,high,14,2024-05-07,earlygastrula,1
5H4,high,4,2024-05-07,egg,22
5H4,high,4,2024-05-07,cleavage,0
5H4,high,4,2024-05-07,morula,4
5H4,high,4,2024-05-07,prawnchip,0
5H4,high,4,2024-05-07,earlygastrula,0
5H9,high,9,2024-05-07,egg,0
5H9,high,9,2024-05-07,cleavage,0
5H9,high,9,2024-05-07,morula,0
5H9,high,9,2024-05-07,prawnchip,15
5H9,high,9,2024-05-07,earlygastrula,0
5L14,low,14,2024-05-07,egg,0
5L14,low,14,2024-05-07,cleavage,0
5L14,low,14,2024-05-07,morula,0
5L14,low,14,2024-05-07,prawnchip,0
5L14,low,14,2024-05-07,earlygastrula,17
5L4,low,4,2024-05-07,egg,26
5L4,low,4,2024-05-07,cleavage,4
5L4,low,4,2024-05-07,morula,0
5L4,low,4,2024-05-07,prawnchip,0
5L4,low,4,2024-05-07,earlygastrula,0
5L9,low,9,2024-05-07,egg,0
5L9,low,9,2024-05-07,cleavage,0
5L9,low,9,2024-05-07,morula,0
5L9,low,9,2024-05-07,prawnchip,14
5L9,low,9,2024-05-07,earlygastrula,0
5M14,mid,14,2024-05-07,egg,0
5M14,mid,14,2024-05-07,cleavage,0
5M14,mid,14,2024-05-07,morula,0
5M14,mid,14,2024-05-07,prawnchip,0
5M14,mid,14,2024-05-07,earlygastrula,14
5M4,mid,4,2024-05-07,egg,24
5M4,mid,4,2024-05-07,cleavage,0
5M4,mid,4,2024-05-07,morula,2
5M4,mid,4,2024-05-07,prawnchip,0
5M4,mid,4,2024-05-07,earlygastrula,0
5M9,mid,9,2024-05-07,egg,1
5M9,mid,9,2024-05-07,cleavage,0
5M9,mid,9,2024-05-07,morula,1
5M9,mid,9,2024-05-07,prawnchip,13
5M9,mid,9,2024-05-07,earlygastrula,0
6C14,control,14,2024-06-07,egg,0
6C14,control,14,2024-06-07,cleavage,0
6C14,control,14,2024-06-07,morula,0
6C14,control,14,2024-06-07,prawnchip,0
